date,regime_up,regime_distance_pct,index,btc_jpy,n_positions,held,targets,nav,book_ret_pct
2026-08-23,,,,12350890,0,,,99.8181,1.701
2026-08-24,,,,12557431,0,,,99.8181,0.0
2026-08-25,,,,12505052,0,,,99.8181,0.0
2026-08-26,,,,12587741,0,,,99.8181,0.0
2026-08-27,,,,12790381,0,,,99.8181,0.0
2026-08-28,,,,12467110,0,,,99.8181,0.0
2026-08-29,,,,12533576,0,,,99.8181,0.0
2026-08-30,,,,12452249,0,,,99.8181,0.0
2026-08-31,,,,12555542,0,,,99.8181,0.0
2026-09-01,,,,12416308,0,,,99.8181,0.0
2026-09-02,,,,12290696,0,,,99.8181,0.0
2026-09-03,,,,12646889,0,,,99.8181,0.0
2026-09-04,,,,12463548,0,,,99.8181,0.0
2026-09-05,,,,12491502,0,,,99.8181,0.0
2026-09-06,,,,12562090,5,BTC/JPY|ETH/JPY|SOL/JPY|BNB/JPY|QTUM/JPY,,99.8181,0.0
2026-09-07,,,,12194735,5,BTC/JPY|ETH/JPY|SOL/JPY|BNB/JPY|QTUM/JPY,,96.9919,-2.831
2026-09-08,,,,12041370,5,BTC/JPY|ETH/JPY|LTC/JPY|SOL/JPY|QTUM/JPY,,96.8687,-0.127
2026-09-09,,,,12036746,5,ETH/JPY|LTC/JPY|DOT/JPY|SOL/JPY|QTUM/JPY,,96.1349,-0.757
2026-09-10,,,,11835027,5,BTC/JPY|ETH/JPY|LTC/JPY|SOL/JPY|QTUM/JPY,,94.5538,-1.645
2026-09-11,,,,11867682,0,,,96.2024,1.743
2026-09-12,,,,11876336,0,,,96.2024,0.0
2026-09-13,,,,11803116,0,,,96.2024,0.0
2026-09-14,,,,12060658,0,,,96.2024,0.0
2026-09-15,,,,11761065,5,BTC/JPY|ETH/JPY|SOL/JPY|BNB/JPY|QTUM/JPY,,96.2024,0.0
2026-09-16,,,,11890778,0,,,97.8692,1.733
2026-09-17,,,,11922736,0,,,97.8692,0.0
2026-09-18,,,,12670000,0,,,97.8692,0.0
2026-09-19,,,,12723227,5,ETH/JPY|LTC/JPY|SOL/JPY|AVAX/JPY|BNB/JPY,,97.8692,0.0
2026-09-20,,,,12736601,5,ETH/JPY|LTC/JPY|SOL/JPY|AVAX/JPY|QTUM/JPY,,101.0277,3.227
2026-09-21,,,,13598838,5,ETH/JPY|LTC/JPY|SOL/JPY|AVAX/JPY|QTUM/JPY,,105.3576,4.286
2026-09-22,,,,13555327,5,ETH/JPY|LTC/JPY|SOL/JPY|AVAX/JPY|SUI/JPY,,106.2623,0.859
2026-09-23,,,,13365122,5,ETH/JPY|LTC/JPY|SOL/JPY|AVAX/JPY|BCH/JPY,,101.9848,-4.025
2026-09-24,,,,13389870,5,ETH/JPY|LTC/JPY|SOL/JPY|AVAX/JPY|BCH/JPY,,105.8494,3.789
2026-09-25,,,,13229059,5,ETH/JPY|LTC/JPY|SOL/JPY|AVAX/JPY|BCH/JPY,,107.3415,1.41
2026-09-26,True,17.49,0.73438,13214232.0,5,ETH/JPY|LTC/JPY|SOL/JPY|AVAX/JPY|BCH/JPY,BCH/JPY|SUI/JPY|SOL/JPY|LTC/JPY|ETH/JPY,106.384,-0.892
